"Notes","County","County Code","Sex","Sex Code","Year","Year Code","Cause of death","Cause of death Code","Place of Death","Place of Death Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"Butte County, CA","06007","Male","M","2023","2023","Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified","X41","Decedent's home","4",19,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Butte County, CA","06007","Male","M","2023","2023","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42","Decedent's home","4",14,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Butte County, CA","06007","Male","M","2023","2023","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44","Decedent's home","4",22,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Butte County, CA","06007","Male","M","2023","2023","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44","Other","7",20,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Contra Costa County, CA","06013","Female","F","2023","2023","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42","Decedent's home","4",10,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Contra Costa County, CA","06013","Female","F","2023","2023","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44","Decedent's home","4",16,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Contra Costa County, CA","06013","Female","F","2023","2023","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44","Other","7",18,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Contra Costa County, CA","06013","Male","M","2023","2023","Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified","X41","Decedent's home","4",13,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Contra Costa County, CA","06013","Male","M","2023","2023","Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified","X41","Other","7",14,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Contra Costa County, CA","06013","Male","M","2023","2023","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42","Decedent's home","4",31,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Contra Costa County, CA","06013","Male","M","2023","2023","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42","Other","7",26,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Contra Costa County, CA","06013","Male","M","2023","2023","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44","Decedent's home","4",27,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Contra Costa County, CA","06013","Male","M","2023","2023","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44","Other","7",47,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"El Dorado County, CA","06017","Male","M","2023","2023","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44","Decedent's home","4",12,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Fresno County, CA","06019","Female","F","2023","2023","Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified","X41","Decedent's home","4",10,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Fresno County, CA","06019","Female","F","2023","2023","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42","Decedent's home","4",10,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Fresno County, CA","06019","Male","M","2023","2023","Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified","X41","Decedent's home","4",26,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Fresno County, CA","06019","Male","M","2023","2023","Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified","X41","Other","7",22,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Fresno County, CA","06019","Male","M","2023","2023","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42","Decedent's home","4",33,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Fresno County, CA","06019","Male","M","2023","2023","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44","Medical Facility - Outpatient or ER","2",10,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Fresno County, CA","06019","Male","M","2023","2023","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44","Decedent's home","4",18,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Fresno County, CA","06019","Male","M","2023","2023","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44","Other","7",31,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Humboldt County, CA","06023","Male","M","2023","2023","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42","Decedent's home","4",19,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Humboldt County, CA","06023","Male","M","2023","2023","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42","Other","7",11,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Kern County, CA","06029","Female","F","2023","2023","Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified","X41","Decedent's home","4",17,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Kern County, CA","06029","Female","F","2023","2023","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42","Decedent's home","4",21,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Kern County, CA","06029","Female","F","2023","2023","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44","Decedent's home","4",28,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Kern County, CA","06029","Female","F","2023","2023","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44","Other","7",14,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Kern County, CA","06029","Male","M","2023","2023","Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified","X41","Decedent's home","4",47,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Kern County, CA","06029","Male","M","2023","2023","Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified","X41","Other","7",29,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Kern County, CA","06029","Male","M","2023","2023","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42","Decedent's home","4",65,Not Applicable,Not Applicable,Not Applicable,Not Applicable
